file,url,source,source_url
toronto.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/a083c865-6d60-4d1d-b6c6-b0c8a85f9c15?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/neighbourhoods/
centrelines.geojson.zip,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/ba71b78e-464b-46dd-8185-a0d249fe4857,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/toronto-centreline-tcl/
collisions.geojson,https://opendata.arcgis.com/api/v3/datasets/2a36d61277a84c3eb9d0beebef4c023d_0/downloads/data?format=geojson&spatialRefId=4326,Toronto Police Service Public Safety Data Portal,https://data.torontopolice.on.ca/datasets/TorontoPS::traffic-collisions-asr-t-tbl-001/about
traffic.csv.zip,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/0ffadfc9-b017-44df-a1b1-905591e54caa,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
autospeed_enforcement.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/e25e9460-a0e8-469c-b9fb-9a4837ac6c1c?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/automated-speed-enforcement-locations/
watch_your_speed.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/4e2221b9-da3a-4ef8-b8eb-17e95b7abaa0?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/school-safety-zone-watch-your-speed-program-locations/
red_light_cams.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/b57a31a1-5ee6-43e3-bfb9-206ebe93066d?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/red-light-cameras/
police.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/4afc3c66-5614-466a-b714-e8d6336fc6d3?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/police-facility-locations/
ambulance.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/e49245ba-395c-46bf-bcf8-22fc7024d649?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/ambulance-station-locations/
fire_hydrants.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/beaaa552-6338-4c81-95be-411e6cef6b89?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/fire-hydrants/
fire_stations.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/9d1b7352-32ce-4af2-8681-595ce9e47b6e?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/fire-station-locations/
renewables.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/05a84a1c-a707-4792-9e89-0d8176f1fd7b?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/renewable-energy-installations/
bicycle_parking.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/e0700d94-0c4d-4058-9354-a4b397c0b249?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/street-furniture-bicycle-parking/
transit_shelters.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/b9214fd7-60d1-45f3-8463-a6bd9828f8bf?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/street-furniture-transit-shelter/
wayfind.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/2ee41858-5bbd-4073-98bf-7d46430bb1b9?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/street-furniture-information-pillar-wayfinding-structure/
litter.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/6c74cc93-3814-4970-84ab-0755e845b25f?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/street-furniture-litter-receptacle/
schools.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/02ef7447-54d9-4aa7-b76d-8ef8138ac546?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/school-locations-all-types/
childcare.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/69403dde-a0b3-491d-9451-2338806a3bf0?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/licensed-child-care-centres/
art.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/978ac0af-4bbb-4485-98b8-451b8e5e5229?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/public-art/
culture.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/a95fcc72-a575-4826-aadd-6eef52774e50?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/cultural-hotspot-points-of-interest/
religious.geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/eafc9b0f-ba16-4be1-a196-304e35751b45?format=geojson&projection=4326,City of Toronto Open Data Portal,https://open.toronto.ca/dataset/places-of-worship/
crime.geojson,https://opendata.arcgis.com/api/v3/datasets/dc310b6a5b674f0bbdbead7b6dd572f0_0/downloads/data?format=geojson&spatialRefId=4326,Toronto Police Service Public Safety Data Portal,https://data.torontopolice.on.ca/datasets/TorontoPS::major-crime-indicators-1/about
